ct,dificuldade,arquivo,executou,passou,status,total_testes,testes_passaram,testes_falharam,tempo_segundos,erro
CT01,Fácil,CT01_calculateDaysPassed.test.js,sim,sim,sucesso,1,1,0,1.091,
CT02,Fácil,CT02_canAdvanceCycle_true.test.js,sim,sim,sucesso,1,1,0,0.935,
CT03,Fácil,CT03_canAdvanceCycle_false.test.js,sim,sim,sucesso,1,1,0,0.931,
CT04,Fácil,CT04_advanceCycle.test.js,sim,sim,sucesso,1,1,0,0.943,
CT05,Fácil,CT05_timer_formatTime.test.js,sim,sim,sucesso,1,1,0,0.954,
CT06,Fácil,CT06_timer_padTime.test.js,sim,sim,sucesso,1,1,0,0.957,
CT07,Fácil,CT07_timeRange_day.test.js,sim,sim,sucesso,1,1,0,0.948,
CT08,Fácil,CT08_timeRange_week.test.js,sim,sim,sucesso,1,1,0,0.952,
CT09,Fácil,CT09_timeRange_month.test.js,sim,sim,sucesso,1,1,0,0.434,
CT10,Fácil,CT10_timeRange_invalid.test.js,sim,sim,sucesso,1,1,0,0.454,
CT11,Médio,CT11_adminMiddleware_admin.test.js,sim,sim,sucesso,1,1,0,0.434,
CT12,Médio,CT12_adminMiddleware_forbidden.test.js,sim,sim,sucesso,1,1,0,0.429,
CT13,Médio,CT13_validateRegister_missingUsername.test.js,sim,sim,sucesso,1,1,0,0.431,
CT14,Médio,CT14_validateRegister_passwordMismatch.test.js,sim,sim,sucesso,1,1,0,0.421,
CT15,Médio,CT15_validateRegister_weakPassword.test.js,sim,sim,sucesso,1,1,0,0.439,
CT16,Médio,CT16_validateRegister_valid.test.js,sim,sim,sucesso,1,1,0,0.442,
CT17,Médio,CT17_validateLogin_missingPassword.test.js,sim,sim,sucesso,1,1,0,0.433,
CT18,Médio,CT18_authMiddleware_missingToken.test.js,sim,sim,sucesso,1,1,0,0.467,
CT19,Médio,CT19_authMiddleware_validToken.test.js,sim,sim,sucesso,1,1,0,0.430,
CT20,Médio,CT20_timeManager_sameDevice.test.js,sim,sim,sucesso,1,1,0,0.442,
CT21,Difícil,CT21_graphicsService_period_pipeline.test.js,sim,sim,sucesso,1,1,0,0.662,
CT22,Difícil,CT22_graphicsService_custom_pipeline.test.js,sim,sim,sucesso,1,1,0,0.660,
CT23,Difícil,CT23_graphicsController_custom_missingDates.test.js,sim,sim,sucesso,1,1,0,0.429,
CT24,Difícil,CT24_authController_login_success.test.js,sim,sim,sucesso,1,1,0,0.454,
CT25,Difícil,CT25_authController_register_duplicate.test.js,sim,sim,sucesso,1,1,0,0.432,
CT26,Difícil,CT26_devicesController_getOne_userScope.test.js,sim,sim,sucesso,1,1,0,0.454,
CT27,Difícil,CT27_devicesController_cycleDevices.test.js,sim,sim,sucesso,1,1,0,0.455,
CT28,Difícil,CT28_exportController_invalidObjectId.test.js,sim,sim,sucesso,1,1,0,0.675,
CT29,Difícil,CT29_exportController_filterDay.test.js,sim,sim,sucesso,1,1,0,0.680,
CT30,Difícil,CT30_csvGenerator_stream.test.js,sim,sim,sucesso,1,1,0,0.455,
